Subject,Vowel,Channel,RMS_mean,RMS_std,BW_mean,BW_std,SNR_mean,SNR_std
S1,aaa,1,0.52505,0.00278,577.0,15.6,21.40,3.83
S1,aaa,2,0.00034,0.00000,5450.0,560.0,-4.63,1.79
S1,eee,1,0.52509,0.00311,381.0,15.6,17.45,0.79
S1,eee,2,0.00030,0.00006,6959.0,1093.2,2.03,3.21
S2,aaa,1,0.00397,0.00009,963.5,153.1,4.04,1.68
S2,aaa,2,0.11223,0.01497,1641.5,11.7,11.02,4.21
S2,eee,1,0.00249,0.00101,1013.0,959.3,2.11,2.54
S2,eee,2,0.16181,0.01842,537.5,6.0,10.57,0.61
S3,aaa,1,0.34102,0.03189,546.5,3.4,11.11,1.99
S3,aaa,2,0.00060,0.00009,1885.0,534.2,6.31,0.85
S3,eee,1,0.52664,0.00353,590.5,8.1,14.65,2.35
S3,eee,2,0.00038,0.00003,5929.5,243.5,3.11,2.02
